# secgurd community IOC list
# Auto-generated from abuse.ch MalwareBazaar recent export
# Updated: 2026-06-29 11:18:08 UTC
# Format: <sha256>,<malware family/signature>
#
2115134fed587a84048767f4dd840b52d434fbd2d588a97d596e9c2655beed48,Mirai
2129d8a2074b2573a3125894f6b8460ee716ef0e3b951836c5ffb7a21126559a,MalwareBazaar
21d6961360c9607230396b4458990f1816cfa4608bc2f1d943f2ddbcd003de70,Mirai
21db9f9bdc701b131cff80562864028144ef93ebb6f9e0675548cb5365f46bb7,Mirai
22be1369653ccc786d479d8f6eca3e122c5c8c680ef1657a00d2cc53d7355336,MalwareBazaar
22d30cf7238704569864e016ff5d4fe72d737485320ea423c8e7453605e6a9f2,Prometei
2347d3877254686164bd97ad62e22cea09575fdf95fe241c3ac4662ac07c159f,Mirai
2358266014965da1fbcab4fff34a4d7c0d57e6582408ba48cc42c002f7370e2e,MalwareBazaar
239adbe22edee724d96e4b5fe0f4a7213c8eba6dba33ff938340dd33aaa08ad6,Gafgyt
23c1ca03358ae3901fdce4a6340c1ad4e02c1abd99077175730b721658a983f9,Mirai
24a7d06467a0c36490b3931ce28e5783dca5217ddfee63cb919f275461796ac7,MalwareBazaar
25a8145fe4b271a2468953a1a74a48f273402e0abaa185fe868f0131d4658c75,Mirai
2623f6dc0b4d56f7aaf634bd25d0baec6f14bf5d902bc2b75534b731667d7646,Mirai
267160946258e7cce833b6d632b5428c35d38081c744ab37ee0cc15dd8f0f2e4,Mirai
2672aa397f823502af8f9ceb1a5e5b51e7f4d45083da1b31e10b21dc2062ac88,MalwareBazaar
2693b00d5f819207e0195c46a7d66bd750f22659d041f37d4bd0f5548a0dde75,MalwareBazaar
2694e1c42f62687ca9d1472dc9091a02870b589791b52ff3700755fea59afb1a,Mirai
26a65e84c4ed6721d591f8c50676405bd240198185891773be2b7855e9f95133,Mirai
272248f64722ef49413a6f3c339aecb78785546c1c65b9c2897e3915bd91be28,SpyNote
275256fe1ea4fb5f4829535a4352de73a411716e16f4ae91eacdbd74ee25a7e4,NetSupport
2789463b0084185582d21ab1d2d87272a3a596349618bcb6224b5f28a05cad1c,MalwareBazaar
2823130bc798b87246e72a090502da737b1e44e9522a0b7fe72eb44924b4152c,Mirai
287a6fd774899dc24ad2de1f895abbc61f832e7db36a86cf85655dd69a246abc,Mirai
29f665d6a91fe320f244d15bd81da511d45333e2758f026efe8a3409b3360093,Mirai
2a09a55911dcfea54ce275bc870ae1deec1a0c57a6cbffc85c8f5594c9f6e2ca,MalwareBazaar
2a169c4c4471f3c37d1e220155d710eb7a0cafead7552e48fdab8f9d4d9e5bb0,RemusStealer
2a6c5cfb8f1c5c6f88a3c1ef39700603c54d5b152817e90f76900854bbbab4f3,MalwareBazaar
2aa12639dd68a5f5f62245c91d74f9ba3c76235193a3f448f3543415234bf593,MalwareBazaar
2ba98395b64bda94951e71b30d6ccfb368bec76c87562e4c007cd4a2a99e65e1,Mirai
2c3416d10a67021fa236a254bf397ece6789b921af0ef5f33b9ca69c63f6e6c2,Mirai
2c7f26643a9d918d353c523c09a7b3947c00c0d79c1effc2f76659c4ef529fea,Mirai
2d01bd4d063774d2ba00bb04a752b86c5b80c5cbb36290eb42b7629dd220e4d7,Mirai
2db83363b1c91e1f5744306766d25ad38ce80b955c90edd42631d98d27ef25a5,MalwareBazaar
2dba680a61b135658e36e5caabde47690c6976eacb6806b9d3265ede80ba241f,MalwareBazaar
2dd4175fc20d38e51eb59f0ee324618bc2b29caf10a3f11e41c12391976a7f16,Prometei
2e9791b87a76ce5706b74e83cae2bdc05e34d8ffc0f494e9390f12320edf4043,MalwareBazaar
2eac96249e00012e874d427c378cafae63f8ad2aac861121818ccfb4ccb19e90,QuasarRAT
2f7e04dd499107fcbcd124d859bbe3d4479b1e7acf2b1c05daff57c9a8a4b0f0,MalwareBazaar
30173a37813bdba5d72674321428071f90ed8716c3d57ba625f7311017e090db,MalwareBazaar
304e7db1072c78f322297554b1c8b7c8f40b017cebf2d5f009e04674e633d92a,Mirai
307ded4d2e7b136f7623eb95ef9c599420e2a5ff0a95a4e0999103d874533d76,MalwareBazaar
30d49b74a5c28e08efb2b331595075d0e1a0e4b7b6bbd9fac308841e542737cc,Mirai
31c641e51200fd891fe6e6608ad2889fa7146b51369a5bb3fe244332cc82815f,Mirai
31e1288c0c4bbaddcf13b46398f6d1466abb29faf841745689eb4e1d9b560e9f,Mirai
3200c7e03243a2e95132f9c5f55614ab8114ce5cc3710794f0dfc79cb94c6af0,Joker
3292472d883e7264c995d732ea7031110341d21d2456f62e44e4434ad671b6b8,MalwareBazaar
331633e511552d0e2bdb744f929bf678f3870cc21740380c104a4044b132a735,Mirai
333196b1c02784f94a695f2d22c987a19d7f48fc4c02046259b0a300c096a063,Mirai
336de5afec2d76351f3531aeb1e930adbafd9502c2da70879fc851c276d2d400,MalwareBazaar
33a7648c64588e855b411fe9bcdb51489d4a33e4ab86705661049bb9b65ceddb,MalwareBazaar
3493902764f84195c46355a65d2f81675a508f0ca42eaaac53f6ae6c6eb05584,ConnectWise
35c7530cd117f5f65ffb019bdae016d9f3bf187d1a74430eca9d73d89d041d0e,Mirai
35da582c4e1d6ce099cd0376b4cc707c90a3014addedc213797f1fbc80fe3998,Mirai
35db02ed203cd01fa002d8f8416f32236338cf3c8352adc4856bcca60ebba2a3,Mirai
35e50beac215fa1181896943535a781bfb9509179b3e418b95b91cdce97cb87f,MalwareBazaar
366761394325153b2d0927a996b9ca2121a2f3194e32c8fe0cc3acb656776cd0,MalwareBazaar
388573d00f5ea1f1d0a7a60affe6e40da5924f30eb777072651fefb6c7f6e229,MalwareBazaar
390c1f60ad86aa57587f46b34976c564e92e0915501ece35292eccf598a93aa3,Mirai
39c8e8b5c4e7b83547efee1358907129006cbe0ca7cdafa4feb14e2574b64130,Mirai
39cbd2d2299ebbc1eba6bb1ffab7d87f0016715fb237d0a1a253262b4b9cea13,njrat
3bbcf6984724e025180a86a790ff6e7fb442c4e66e0eb0518e2c553a2e698322,Mirai
3c259ee65974af10a2469938221c5c99774c7fed01362ac4283b9a296aba2981,MalwareBazaar
3c414f24f823b072019b5ef2bf9ba0bcdb44fed8f4d9793b49dfda55b8ec701e,MalwareBazaar
3d4f625ac5524c8f84ed8aa60a0fbc772c982d6a10ef70f8077150a718cd1b15,MalwareBazaar
3dc74884aa66e1fff5ae707af5c05a3305f3e9979b679b4f5ceb3b66f3e201b6,Mirai
3e336766f450f868f7b36e0be3396a951cb0f22dec16cc92b2c7a747700d84eb,Mirai
3eb43078cc25cfea4841533828fe136064eb151a93e8418f120a439cde3a1771,MalwareBazaar
3f4d7beb1a530f390ee842f54cbea4802a4ff26366a6cc4c5de673879b1e437b,MalwareBazaar
3ffe7fe3ca5717478de826b6962a22f8519d2da4def748965c80d6ee870e01f7,Mirai
40ec689602bccb8bb281937ae0d687d0b9277a3378d2135e2c82427c4f8ba233,MalwareBazaar
4229febbc3cd893a2010b1d4a4174c9faac5a086973ffcc639d6f8ea9bee2c1b,Mirai
428b93455b3493b726412fee9af76ff7d9d94853b99278f9aeda67014a19ce2b,Mirai
438188975ca63bf62e1bec7d77b2c687a2c70e1229f2aa898025b23af8cb9f01,MalwareBazaar
44551bd3f2b03e659abc837c484eccc7871f91eab02cbea3835aa4480a2dd783,Mirai
44aaad8944f052efdfd67a3c3f53526d728c2ee6278ec9a79e6edc753d81e9c0,MalwareBazaar
44f697e4a8b91f4188017d4f44df7766a9ed61e98ad0f5606f25e5effdc641a5,PhantomStealer
453d5fbf9f72a97fbca6cf799a61a0ebc916b72226c4c3926112ba1183b205a2,MalwareBazaar
45584544686425ccf53e6d099c6a588adbd1dd6c64d84a4068ed861e5af87ef8,MalwareBazaar
456c3c57daa85499909d308986c6bf64e746c3aa0475c80952c28765677c5f56,Mirai
457ff20c00a295e27fe60a0a3e1a1aed1d297cc1cebe4c5cd876bcc21903fbfc,Mirai
462cb84f8cac8fa5fe9a70a09c883cdcce807ccfe9ae63d8dead06bb23de7b65,MalwareBazaar
46d8fb86f41800a8917c7f16d445d02df1f56b31201bb682d64c2b9ff9bfa7bb,Mirai
4761538b84739ab042de484749e359402a9115faf3a4ffbf564d969095edd4eb,Mirai
47c3f86cd33b11cb9c57df1f9ab4363eab0306e230936cbf45321b17c11fb012,RemcosRAT
48eef0724990d401f589c314349a0033cb37f731ffffab54a57154e7b444fe42,MalwareBazaar
49061a4ad78f4891c747acff4fbb75b816635069625ea654f22f41810e2be45a,Mirai
492887426e9432cb13ee8bff996d074b4b588fc341fef26f50aa913ebe352173,Mirai
49ad4072fa8ba37e0503c4d507c10a0c1eb9db6e73bf44af59c2a0bcb4d500fb,SilentNet
4a465658121a15449fadbeed82d37c461e601ae45c08a3d6c992285d31ebf804,ACRStealer
4ab45e34c0d4e59ed9ee9da871e959bfb9084067dcd7518420d910e817272d95,Mirai
4ab7fce4429aa057f4f17819c8d4856239658873b20c6cd93e5f4241afab0fd8,MalwareBazaar
4b516f504ee1a53a1056067398e231cf2a0011152335e06d680cc0876ec30383,Mirai
4b846be26d903834219e4369bd48097e04642f5f4abaec582e3e73692947d4f0,MalwareBazaar
4bcb02b7fd40a5d6819c6e6979a5e9e59643e3ff281b46a10a08962a84f120d5,WeedHack
4c1964edd06cfbf937fd7fd55f155cf00f57feb9c77af83f1702e2c7545d8205,Mirai
4c396a79f5a55eb5489745b5af6d317b7dafe70c0a531bb2ff1acc79b70c5510,Mirai
4c5c1e5b63afcf075838753b5025088f2a92e92c0db699965bc12b109983931b,RemusStealer
4cb2cdc23b7bd56e94e09f9db82522a990707ebce19cb08678fd58f679ad5edf,MalwareBazaar
4cc8862c89c56deb6abbcdef19abbf97c11c99be2526716998a3efb53eb3553f,Mirai
4dd17f76964d0fc97b88a937663f13781da10912937762c27e530e79b780f9f6,Mirai
4dec1f10104b6389f0cf94b650d37bca3baf56765ada3144266b6f2e07b29245,MalwareBazaar
4e5206392c8b4a362c99f54e28416ba7ca089c057740a1dc7b288a065a04b6fb,MalwareBazaar
4ed6520516e5f756f1d020510d5e508c03811b3cb5062eed4bede73df641b779,Vidar
503ce8c59b24f576b99fa519226582750f8f0240b88fb5a3b531d3e66a096277,Mirai
527430cb7b27167ef60dfaf0cfa44d1cebab0466b331bc25e4b21072cccf72eb,Mirai
533f22a6573f9a636853584b9e63106b4621a062b8ec105dbc226d6b11ebdb13,CoinMiner
536a20ad2c2de578288f060adba7ce718ca8b4ad3e9111e6e461dd482bd34cc8,CobaltStrike
538206dcf29e5aeb39fa9b6ea2238fd49d5d8331c428a5d7b3026b56ab78483e,WeedHack
539a2e320b986af4c89eb677744459582833f004e1bb86ce6baf69536d064974,MalwareBazaar
542ab12e9aa46a0a19d380e7390a84c4628c7316cb7a4bd01a85a8b3a45ca421,BlankGrabber
5459622ae504dc35f2d900e0d01da72623119f67cf65f16fe0301b8c869f35a7,Mirai
546c20af1d14d8f69618c0d3a1696b0815a1b0cec1a3c351f516a66cb781cfe1,Mirai
547e1c8e530fc32219070e50c482870e87b452a50854ccc491cf5ab157527b44,Mirai
54ad3d4d8342ddea5cc6adea83d26a574a11d7e5133a04af6999a87adbbc2336,ValleyRAT
555cb9ec0842dce18895c26b81fc108cadc4958970235631fd703d31d7e6ba65,WannaCry
55d38ae5923cd336221378583617758a55ee114fe777eb3cb5ca04bc6200356f,Mirai
56696f8f91b5ff3a268c8e597416b35ac9a4e51d1fc6b65d7616853fc7ccd1ea,MalwareBazaar
56e66ffef4ae328ebdf3539fb741410079a2acb6cb5e817c1d48aa537c478dcd,MalwareBazaar
579f3428febfdd5cccb0eda56a00384d424d69a457e2544e754b5ad1c0563743,Mirai
57f034953d17d7525551bbf1c849475c86b63c1a9e16e54fce83bdf64ed50ce9,Mirai
5863e8d2de01c5ef06479d5d563b6be6a84d49286d55376b093376939c97b328,MalwareBazaar
58c6896a87e901cc7dfa4e5e51fd9bc59ec1bfdf2750313857c3adc95b92c5b8,Mirai
5971ef36fe62112091ec45ceacec8df8b374575f23d7d4e37efbd0249e15f3a3,Mirai
59d4ee46bb31dabaaa33d687166a3bcad001d04a6f6e52f4d3820b2db2f1c4e0,Mirai
59e05d55eeccbb41380e1fc456fb84489c7d32d081c65c4bb8aece162e80ca23,Mirai
5a69d7e544366d516dca0903468a8c7de23f7ad21bdf7cfa7fa72d5e18bbc048,CoinMiner
5a9f6ea331964b80df719baa5b14a15ffd5a326cc32dd4849638443e76b8f65a,Mirai
5b38cd1e806190b9293fbd4b21226a1f19bf88b2dfb9fe334699095c58347690,MalwareBazaar
