# secgurd community IOC list
# Auto-generated from abuse.ch MalwareBazaar recent export (Windows PE + scripts only)
# Updated: 2026-08-08 07:04:35 UTC
# Format: <sha256>,<malware family/signature>
#
39c69cb0f29f8e9f41fa305cb1adf34762e5d8131ae348553b089377236c4f38,CobaltStrike
3a2584e9d358beacb1c65df6697c26e08d3bbd40febb1f4d94e3bc615b55a126,MalwareBazaar
3aa97c40f9829f8211dc4cd9b61dfee0f49505d0199358f1a2d52184702130c9,Formbook
3caaa5e8cab6d0ec2932ea20fb71301eeea20ea16ea18d4cde08f8130a59fd25,ConnectWise
3ddce244c308f1ce27307b16467f29bd7f3e2333c535cb4a0c5d93a0b7296230,Formbook
3e9b5fcc1f49b8b0fe84c9f78b15499ab39e16d8a353f21ef6816c8b82744656,LxBaseRAT
4050513fd2c0e7872d037adc911283a8362a5173ff1910ff5eb8890b980e7994,CoinMiner
4115dfac942c3e99fa356fcd89cb30ecbeb8156da57b1fb0d8c8270699b6417b,RemusStealer
415ce6602e0497152674528dd3e4c580aa151127380d6582880a1ccea60f9e55,Formbook
416e7d7ed1d47f077b3630436bdbeaa43a669b536f6982efe54260492d4fb469,MalwareBazaar
4410281c659cb2fe957d7f192d217f4642127827674af45afcd24329fe13bab5,Mofksys
44ccb0b2c6f16f1223735532aa70d7986e3b440a45170c7015a1982748638593,Formbook
450b6c8ffce56ab8cb90010bdcfd25b20433ab6a2383785090d300b1f352bd9f,XWorm
45f245b964952e7ab59f50597ba1458ea8a3dfe42f0bc9a12696af02a810fbac,XenoRAT
467ed1f5cfbbb2bbb6f90f75d1b2bcd99dbeb38a65cc4bcc7bd39767a62d5676,CoinMiner
48db3033a0aeab073a1066866c09bef20cdae9fbdab7e85e0c0b3d21804118c1,Formbook
4957dc632215a7500070fa697a4c9439bce4d35d27ab4f62c67f72b8178ca92e,ConnectWise
49fe73f573adfe963be35d4e5058fb441729fb4970f68d3d900207eaee0b55a8,LxBaseRAT
4ab36399059f32090619c70d8dbeb6fbf3136383b85bfef1a4f1c0c3b32f837b,Vidar
4b1f69dcea99ca1e1884a377ed2481ee1f0d543e7faade27f6ac3dc850042233,ConnectWise
4bf9c547ab27ca81b639296c54e7e6c51edd28fd4e2cb863d7056c05504277ad,AgentTesla
4c0cc7a436d76943027df0515a69c3281fb981ace332a3b8897ae2faf154558b,MalwareBazaar
4c1a6aa684dba8da8ad478c994fe9d251687dee1f8db2c6e3195d8ccc3256ccf,RemcosRAT
4d2d933833407d7a57ca47402808a1d79e22f5cffda0d4bd35177669e987d867,AgentTesla
4d36db3522a7b2dd10e0936e1004373c7ee65f10f7cd7920cd76410459c15a45,MalwareBazaar
4e4e32f6259b82e6b932ab81172c22560ec2ac46e85543d4851637a63eaace3e,MalwareBazaar
5067ae4261feea16e5b765d748a743eb9f55d86cf795c0213ac3769049e7dfba,AgentTesla
50b550faebd9e8e28676a307f8b826d2cce0756a97bbaf8e286a20fd044d779e,MalwareBazaar
51498477da8c0c5abf4cca3de0704a83d513c4005c2f4f3bb09fc8121e1189dc,CoinMiner
522d1b1c915fcf7d6e7113bd6c53aa435a01b77b8c12316bb2ca53472cf66beb,ConnectWise
5273b7575eb3efe33117a8209684e11ca42a66ed779ecd32bc9ead5b2a9f0d30,ConnectWise
552497b4c1f9b3cf5514ce59292a1f715f3673c375fd1944bb5930f646383e41,ValleyRAT
55fd126063af89eb1c5639a56dcf365f2e817813a45758b3f12a18f12d5561d1,RemusStealer
57bdbf20404cb95dbe39e87043159e6caf2a44e1a8881775e465f68210bbe644,MalwareBazaar
58c82c9228092f04aad7de7429f5529940d5d08ab8352691d68887ca24699e52,MalwareBazaar
599584e6e42436721a66c2d3fbc29fe0d9be0b0e3f9e0f5f0333293e293920fc,Efimer
5a145920b162b6fee3429e2201c03fb8b3a8bc703d13bcac4d21166a05bbe708,MalwareBazaar
5a39e0d2de10ebb4b2fe2ea71fcc53bc491985033004b8de96537896bc44dfbe,XWorm
5a78ed88bda581548fd4ec5cd17d8d9f50bc9e7367404f487d92e28d50b28e90,DonutLoader
5aa0339a6544700fd9087b54b701c4f2d8ac19b2865dec4640cf97fc704cc8ba,MalwareBazaar
